,region,region_coord
0,"Douro, Portugal","(41.5012768, -5.512293199999999)"
1,"Willamette Valley, USA","(44.942554, -122.9337615)"
2,"Navarra, Spain","(42.6953909, -1.6760691)"
3,"Alsace, France","(48.3181795, 7.441624099999999)"
4,"Napa Valley, USA","(38.5024689, -122.2653887)"
5,"Alexander Valley, USA","(38.6129647, -122.7694345)"
6,"Etna, Italy","(37.751005, 14.9934349)"
7,"Central Coast, USA","(38.39277999999999, -121.57194)"
8,"Cafayate, Argentina","(-26.0730798, -65.976052)"
9,"Mendoza, Argentina","(-32.8894587, -68.8458386)"
10,"Ribera del Duero, Spain","(41.7820044, -3.6623239)"
11,"Virginia, USA","(37.4315734, -78.6568942)"
12,"Sicilia, Italy","(37.5999938, 14.0153557)"
13,"Paso Robles, USA","(35.6368759, -120.6545022)"
14,"Sonoma Coast, USA","(38.291859, -122.4580356)"
15,"Cerasuolo di Vittoria, Italy","(36.952079, 14.5372494)"
16,"Clarksburg, USA","(39.2806451, -80.34453409999999)"
17,"Beaujolais-Villages, France","(37.68572080000001, -97.335374)"
18,"Dry Creek Valley, USA","(39.2614426, -121.3414203)"
19,"Sonoma Valley, USA","(38.291859, -122.4580356)"
20,"McMinnville, USA","(45.21011619999999, -123.1987163)"
21,"Colchagua Valley, Chile","(-34.5486349, -71.4016872)"
22,"Puglia, Italy","(40.7928393, 17.1011931)"
23,"Beaujolais, France","(46.1134349, 4.7263863)"
24,"Maule Valley, Chile","(33.6989764, -111.9184901)"
25,"Lake County, USA","(42.3689363, -87.8271534)"
26,"Monticello, USA","(38.0086043, -78.4531994)"
27,"Brouilly, France","(45.844705, 4.40916)"
28,"Monica di Sardegna, Italy","(34.1038943, -118.2869547)"
29,"Bordeaux Blanc, France","(36.1130263, -95.97528539999999)"
30,"North Coast, USA","(38.01925230000001, -122.8631254)"
31,"Maipo Valley, Chile","(-33.8088442, -70.7644236)"
32,"Calistoga, USA","(38.5787965, -122.5797054)"
33,"Morellino di Scansano, Italy","(42.6863861, 11.3339204)"
34,"Barolo, Italy","(44.6088032, 7.9403041)"
